date,title,description,sentiment,confidence
2025-09-02,"Alibaba price target raised by $39 at Citi, here's why","See the rest of the story here. thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and corpor…",neutral,0.925696611404419
2025-09-02,Alibaba Stock: Bernstein Hails “Game-Changing” Earnings Call - TipRanks,"Alibaba Stock: Bernstein Hails “Game-Changing” Earnings CallTipRanks Alibaba shares jump 19% on cloud unit acceleration, report of new AI chipCNBC Alibaba Stock Soars 19%. What’s Behind the Jump.Barron's EM Equities Gain for First Time in Five Days on Alibaba…",positive,0.6870182752609253
2025-09-02,EM stocks rally as Alibaba surges on AI revenue boost,"Emerging-market equities experienced a rally, driven by AI-related stocks in Hong Kong and China, following Alibaba's report of surging AI revenue. Alibaba's shares jumped significantly, boosting the MSCI EM Index. Meanwhile, the Indonesian rupiah saw the lar…",positive,0.9484308362007141
2025-09-01,Indian Local Funds’ Stock Buying Nears Record as Foreigners Exit,,negative,0.4648471772670746
2025-09-01,Bessent says Trump administration will tackle high housing costs with new measures,,positive,0.8731452822685242
2025-09-01,Bessent says Trump administration will tackle high housing costs with new measures,,positive,0.8731452822685242
2025-09-01,Anthropic's leading researchers acted as moderate accelerationists,"Published on September 1, 2025 11:23 PM GMTIn 2021, a circle of researchers left OpenAI, after a bitter dispute with their executives. They started a competing company, Anthropic, stating that they wanted to put safety first. The safety community responded wi…",neutral,0.6794329285621643
2025-09-01,"Here’s what’s worth streaming in September on Netflix, Hulu, HBO Max & more",,neutral,0.9426321387290955
2025-09-01,UK sets out support for Afghanistan earthquake victims,,neutral,0.7866333723068237
2025-09-02,Alibaba Cloud reveals its uptime and efficiency secrets developed by in-house network boffins,"eBPF, shared SmartNICs, and smart scheduling have improved reliability and cut costs Chinese web giant Alibaba has reduced network outages by 92 percent, cut load balancing costs by 18.9 percent, and found ways to improve SmartNIC performance by offloading wo…",positive,0.9538401365280151
2025-09-02,Alibaba Cloud reveals its uptime and efficiency secrets developed by in-house network boffins,"eBPF, shared SmartNICs, and smart scheduling have improved reliability and cut costs Chinese web giant Alibaba has reduced network outages by 92 percent, cut load balancing costs by 18.9 percent, and found ways to improve SmartNIC performance by offloading wo…",positive,0.9538401365280151
2025-09-02,"Asian Stocks Edge Up, Japan Bond Auction In Focus: Markets Wrap","Asian stocks posted modest gains at the open Tuesday, with attention back on technology shares and the artificial intelligence sector following the surge in Alibaba Group Holding Ltd.’s shares.",positive,0.9149293303489685
2025-09-02,"Alibaba price target raised by $17 at BofA, here's why","See the rest of the story here. thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and corpor…",neutral,0.9237959980964661
2025-09-02,"Asian stocks edge up, Japan bond auction in focus","Asian stocks saw modest gains, driven by technology and AI sectors, particularly Alibaba's surge. Investors are eyeing upcoming jobs and inflation data, along with the Federal Reserve's rate decision, amid historical September market weakness. Meanwhile, Indo…",positive,0.6989492774009705
2025-09-02,"Alibaba price target raised by $39 at Citi, here's why","See the rest of the story here. thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and corpor…",neutral,0.925696611404419
2025-09-02,Alibaba Stock: Bernstein Hails “Game-Changing” Earnings Call - TipRanks,"Alibaba Stock: Bernstein Hails “Game-Changing” Earnings CallTipRanks Alibaba shares jump 19% on cloud unit acceleration, report of new AI chipCNBC Alibaba Stock Soars 19%. What’s Behind the Jump.Barron's EM Equities Gain for First Time in Five Days on Alibaba…",positive,0.6870182752609253
2025-09-02,EM stocks rally as Alibaba surges on AI revenue boost,"Emerging-market equities experienced a rally, driven by AI-related stocks in Hong Kong and China, following Alibaba's report of surging AI revenue. Alibaba's shares jumped significantly, boosting the MSCI EM Index. Meanwhile, the Indonesian rupiah saw the lar…",positive,0.9484308362007141
2025-09-01,Indian Local Funds’ Stock Buying Nears Record as Foreigners Exit,,negative,0.4648471772670746
2025-09-01,Bessent says Trump administration will tackle high housing costs with new measures,,positive,0.8731452822685242
2025-09-01,Bessent says Trump administration will tackle high housing costs with new measures,,positive,0.8731452822685242
2025-09-01,Anthropic's leading researchers acted as moderate accelerationists,"Published on September 1, 2025 11:23 PM GMTIn 2021, a circle of researchers left OpenAI, after a bitter dispute with their executives. They started a competing company, Anthropic, stating that they wanted to put safety first. The safety community responded wi…",neutral,0.6794329285621643
2025-09-01,"Here’s what’s worth streaming in September on Netflix, Hulu, HBO Max & more",,neutral,0.9426321387290955
2025-09-01,UK sets out support for Afghanistan earthquake victims,,neutral,0.7866333723068237
2025-09-02,Alibaba Cloud reveals its uptime and efficiency secrets developed by in-house network boffins,"eBPF, shared SmartNICs, and smart scheduling have improved reliability and cut costs Chinese web giant Alibaba has reduced network outages by 92 percent, cut load balancing costs by 18.9 percent, and found ways to improve SmartNIC performance by offloading wo…",positive,0.9538401365280151
2025-09-02,Alibaba Cloud reveals its uptime and efficiency secrets developed by in-house network boffins,"eBPF, shared SmartNICs, and smart scheduling have improved reliability and cut costs Chinese web giant Alibaba has reduced network outages by 92 percent, cut load balancing costs by 18.9 percent, and found ways to improve SmartNIC performance by offloading wo…",positive,0.9538401365280151
2025-09-02,"Asian Stocks Edge Up, Japan Bond Auction In Focus: Markets Wrap","Asian stocks posted modest gains at the open Tuesday, with attention back on technology shares and the artificial intelligence sector following the surge in Alibaba Group Holding Ltd.’s shares.",positive,0.9149293303489685
2025-09-02,"Alibaba price target raised by $17 at BofA, here's why","See the rest of the story here. thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and corpor…",neutral,0.9237959980964661
2025-09-02,"Asian stocks edge up, Japan bond auction in focus","Asian stocks saw modest gains, driven by technology and AI sectors, particularly Alibaba's surge. Investors are eyeing upcoming jobs and inflation data, along with the Federal Reserve's rate decision, amid historical September market weakness. Meanwhile, Indo…",positive,0.6989492774009705
2025-09-02,"Alibaba price target raised by $39 at Citi, here's why","See the rest of the story here. thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and corpor…",neutral,0.925696611404419
2025-09-02,Alibaba Stock: Bernstein Hails “Game-Changing” Earnings Call - TipRanks,"Alibaba Stock: Bernstein Hails “Game-Changing” Earnings CallTipRanks Alibaba shares jump 19% on cloud unit acceleration, report of new AI chipCNBC Alibaba Stock Soars 19%. What’s Behind the Jump.Barron's EM Equities Gain for First Time in Five Days on Alibaba…",positive,0.6870182752609253
2025-09-02,EM stocks rally as Alibaba surges on AI revenue boost,"Emerging-market equities experienced a rally, driven by AI-related stocks in Hong Kong and China, following Alibaba's report of surging AI revenue. Alibaba's shares jumped significantly, boosting the MSCI EM Index. Meanwhile, the Indonesian rupiah saw the lar…",positive,0.9484308362007141
2025-09-01,Indian Local Funds’ Stock Buying Nears Record as Foreigners Exit,,negative,0.4648471772670746
2025-09-01,Bessent says Trump administration will tackle high housing costs with new measures,,positive,0.8731452822685242
2025-09-01,Bessent says Trump administration will tackle high housing costs with new measures,,positive,0.8731452822685242
2025-09-01,Anthropic's leading researchers acted as moderate accelerationists,"Published on September 1, 2025 11:23 PM GMTIn 2021, a circle of researchers left OpenAI, after a bitter dispute with their executives. They started a competing company, Anthropic, stating that they wanted to put safety first. The safety community responded wi…",neutral,0.6794329285621643
2025-09-01,"Here’s what’s worth streaming in September on Netflix, Hulu, HBO Max & more",,neutral,0.9426321387290955
2025-09-01,UK sets out support for Afghanistan earthquake victims,,neutral,0.7866333723068237
2025-09-02,Alibaba Cloud reveals its uptime and efficiency secrets developed by in-house network boffins,"eBPF, shared SmartNICs, and smart scheduling have improved reliability and cut costs Chinese web giant Alibaba has reduced network outages by 92 percent, cut load balancing costs by 18.9 percent, and found ways to improve SmartNIC performance by offloading wo…",positive,0.9538401365280151
2025-09-02,Alibaba Cloud reveals its uptime and efficiency secrets developed by in-house network boffins,"eBPF, shared SmartNICs, and smart scheduling have improved reliability and cut costs Chinese web giant Alibaba has reduced network outages by 92 percent, cut load balancing costs by 18.9 percent, and found ways to improve SmartNIC performance by offloading wo…",positive,0.9538401365280151
2025-09-02,"Asian Stocks Edge Up, Japan Bond Auction In Focus: Markets Wrap","Asian stocks posted modest gains at the open Tuesday, with attention back on technology shares and the artificial intelligence sector following the surge in Alibaba Group Holding Ltd.’s shares.",positive,0.9149293303489685
2025-09-02,"Alibaba price target raised by $17 at BofA, here's why","See the rest of the story here. thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and corpor…",neutral,0.9237959980964661
2025-09-02,"Asian stocks edge up, Japan bond auction in focus","Asian stocks saw modest gains, driven by technology and AI sectors, particularly Alibaba's surge. Investors are eyeing upcoming jobs and inflation data, along with the Federal Reserve's rate decision, amid historical September market weakness. Meanwhile, Indo…",positive,0.6989492774009705
2025-09-02,"Alibaba price target raised by $39 at Citi, here's why","See the rest of the story here. thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and corpor…",neutral,0.925696611404419
2025-09-02,Alibaba Stock: Bernstein Hails “Game-Changing” Earnings Call - TipRanks,"Alibaba Stock: Bernstein Hails “Game-Changing” Earnings CallTipRanks Alibaba shares jump 19% on cloud unit acceleration, report of new AI chipCNBC Alibaba Stock Soars 19%. What’s Behind the Jump.Barron's EM Equities Gain for First Time in Five Days on Alibaba…",positive,0.6870182752609253
2025-09-02,EM stocks rally as Alibaba surges on AI revenue boost,"Emerging-market equities experienced a rally, driven by AI-related stocks in Hong Kong and China, following Alibaba's report of surging AI revenue. Alibaba's shares jumped significantly, boosting the MSCI EM Index. Meanwhile, the Indonesian rupiah saw the lar…",positive,0.9484308362007141
2025-09-01,Indian Local Funds’ Stock Buying Nears Record as Foreigners Exit,,negative,0.4648471772670746
2025-09-01,Bessent says Trump administration will tackle high housing costs with new measures,,positive,0.8731452822685242
2025-09-01,Bessent says Trump administration will tackle high housing costs with new measures,,positive,0.8731452822685242
2025-09-01,Anthropic's leading researchers acted as moderate accelerationists,"Published on September 1, 2025 11:23 PM GMTIn 2021, a circle of researchers left OpenAI, after a bitter dispute with their executives. They started a competing company, Anthropic, stating that they wanted to put safety first. The safety community responded wi…",neutral,0.6794329285621643
2025-09-01,"Here’s what’s worth streaming in September on Netflix, Hulu, HBO Max & more",,neutral,0.9426321387290955
2025-09-01,UK sets out support for Afghanistan earthquake victims,,neutral,0.7866333723068237
2025-09-02,Alibaba Cloud reveals its uptime and efficiency secrets developed by in-house network boffins,"eBPF, shared SmartNICs, and smart scheduling have improved reliability and cut costs Chinese web giant Alibaba has reduced network outages by 92 percent, cut load balancing costs by 18.9 percent, and found ways to improve SmartNIC performance by offloading wo…",positive,0.9538401365280151
2025-09-02,Alibaba Cloud reveals its uptime and efficiency secrets developed by in-house network boffins,"eBPF, shared SmartNICs, and smart scheduling have improved reliability and cut costs Chinese web giant Alibaba has reduced network outages by 92 percent, cut load balancing costs by 18.9 percent, and found ways to improve SmartNIC performance by offloading wo…",positive,0.9538401365280151
2025-09-02,"Asian Stocks Edge Up, Japan Bond Auction In Focus: Markets Wrap","Asian stocks posted modest gains at the open Tuesday, with attention back on technology shares and the artificial intelligence sector following the surge in Alibaba Group Holding Ltd.’s shares.",positive,0.9149293303489685
2025-09-02,"Alibaba price target raised by $17 at BofA, here's why","See the rest of the story here. thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and corpor…",neutral,0.9237959980964661
2025-09-02,"Asian stocks edge up, Japan bond auction in focus","Asian stocks saw modest gains, driven by technology and AI sectors, particularly Alibaba's surge. Investors are eyeing upcoming jobs and inflation data, along with the Federal Reserve's rate decision, amid historical September market weakness. Meanwhile, Indo…",positive,0.6989492774009705
2025-09-02,"Alibaba price target raised by $39 at Citi, here's why","See the rest of the story here. thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and corpor…",neutral,0.925696611404419
2025-09-02,Alibaba Stock: Bernstein Hails “Game-Changing” Earnings Call - TipRanks,"Alibaba Stock: Bernstein Hails “Game-Changing” Earnings CallTipRanks Alibaba shares jump 19% on cloud unit acceleration, report of new AI chipCNBC Alibaba Stock Soars 19%. What’s Behind the Jump.Barron's EM Equities Gain for First Time in Five Days on Alibaba…",positive,0.6870182752609253
2025-09-02,EM stocks rally as Alibaba surges on AI revenue boost,"Emerging-market equities experienced a rally, driven by AI-related stocks in Hong Kong and China, following Alibaba's report of surging AI revenue. Alibaba's shares jumped significantly, boosting the MSCI EM Index. Meanwhile, the Indonesian rupiah saw the lar…",positive,0.9484308362007141
2025-09-01,Indian Local Funds’ Stock Buying Nears Record as Foreigners Exit,,negative,0.4648471772670746
2025-09-01,Bessent says Trump administration will tackle high housing costs with new measures,,positive,0.8731452822685242
2025-09-01,Bessent says Trump administration will tackle high housing costs with new measures,,positive,0.8731452822685242
2025-09-01,Anthropic's leading researchers acted as moderate accelerationists,"Published on September 1, 2025 11:23 PM GMTIn 2021, a circle of researchers left OpenAI, after a bitter dispute with their executives. They started a competing company, Anthropic, stating that they wanted to put safety first. The safety community responded wi…",neutral,0.6794329285621643
2025-09-01,"Here’s what’s worth streaming in September on Netflix, Hulu, HBO Max & more",,neutral,0.9426321387290955
2025-09-01,UK sets out support for Afghanistan earthquake victims,,neutral,0.7866333723068237
