date,title,description,sentiment,confidence
2025-08-13,These 5 ‘90s Slasher Movies Are Underrated (And They Rock),"Though many seem quick to argue that the slasher genre peaked in the ‘80s, but the ‘90s nonetheless produced plenty of noteworthy offerings that have stood the test of time. The decade gave birth to a number of quality efforts that resonated with both critics…",neutral,0.6556296348571777
2025-08-13,Elon Musk Accuses App Store Of Favoring OpenAI,"Elon Musk has taken his feud against OpenAI to the App Store, accusing Apple of favoring ChatGPT in the digital shop and vowing legal action.",negative,0.9012042284011841
2025-08-13,Elon Musk accuses App Store of favoring OpenAI,"Elon Musk has taken his feud against OpenAI to the App Store, accusing Apple of favoring ChatGPT in the digital shop and vowing legal action. “Apple is behaving in a manner that makes it impossible for any AI company besides OpenAI to reach #1 in the App Stor…",negative,0.893058180809021
2025-08-13,Threads crosses 400M monthly active users as it gains on X,"Following a recent series of welcome updates as Threads turned two, Meta CEO Mark Zuckerberg announced today that his X competitor crossed 400 million monthly active users (MAUs), a 50 million boost since April. more…",positive,0.926202654838562
2025-08-13,Why a $599 MacBook may be the most enticing laptop for Windows 10 users later this year,"Rumors point to a new budget-friendly MacBook using the iPhone's A18 Pro chipset, launching as early as fall 2025.",neutral,0.6398706436157227
2025-08-13,Quansight Labs Blog: Python Wheels: from Tags to Variants,The story of how the Python Wheel Variant design was developed,neutral,0.9447791576385498
2025-08-12,"Nuclear-powered AI could make Rolls Royce UK's most valuable firm, says boss",Tufan Erginbilgic says business deals to supply nuclear power for artificial intelligence could boost its fortunes,positive,0.9430552124977112
2025-08-12,Streaming from a VR headset is about to get a lot easier,"The Meta Quest line of virtual reality (VR) headsets provides an immersive gaming experience, but streaming gameplay from those devices can be complex. A U.K.-based developer is looking to simplify that process. BeamXR has opened up early access for a Quest a…",neutral,0.791291356086731
2025-08-13,5 Oustanding HBO Max Series to Stream Now,"Discover 5 fantastic series streaming on HBO Max right now. From gangster noir to comedic brilliance, these shows all offer captivating storytelling.",neutral,0.8469259738922119
2025-08-13,AI start-up Perplexity makes $34.5bn bid for Google Chrome,Google's dominance of the search engine and online advertising market has come under intense scrutiny.,negative,0.7837327718734741
2025-08-13,AI start-up Perplexity makes $34.5bn bid for Google Chrome,Google's dominance of the search engine and online advertising market has come under intense scrutiny.,negative,0.7837327718734741
2025-08-13,Will AI replace all software? Why GPT-5 emboldens the doomsayers,"The question on Wall Street, and inside many IT shops, is whether anyone will need to buy software in the future if AI can just code it all automatically.",neutral,0.7804304361343384
2025-08-13,Is Meta Scraping the Fediverse for AI?,A new report from Dropsite News makes the claim that Meta is allegedly scraping a large amount of independent sites for content to train their AI. What's worse is that this scraping operation appears,negative,0.8053725957870483
2025-08-13,Trump's tariffs keep coming. Stock markets don't seem to care.,"At least for now, the U.S. stock market is on board with President Donald Trump’s increasingly aggressive use of executive power",neutral,0.6167916059494019
2025-08-13,These 5 ‘90s Slasher Movies Are Underrated (And They Rock),"Though many seem quick to argue that the slasher genre peaked in the ‘80s, but the ‘90s nonetheless produced plenty of noteworthy offerings that have stood the test of time. The decade gave birth to a number of quality efforts that resonated with both critics…",neutral,0.6556296348571777
2025-08-13,Elon Musk Accuses App Store Of Favoring OpenAI,"Elon Musk has taken his feud against OpenAI to the App Store, accusing Apple of favoring ChatGPT in the digital shop and vowing legal action.",negative,0.9012042284011841
2025-08-13,Elon Musk accuses App Store of favoring OpenAI,"Elon Musk has taken his feud against OpenAI to the App Store, accusing Apple of favoring ChatGPT in the digital shop and vowing legal action. “Apple is behaving in a manner that makes it impossible for any AI company besides OpenAI to reach #1 in the App Stor…",negative,0.893058180809021
2025-08-13,Threads crosses 400M monthly active users as it gains on X,"Following a recent series of welcome updates as Threads turned two, Meta CEO Mark Zuckerberg announced today that his X competitor crossed 400 million monthly active users (MAUs), a 50 million boost since April. more…",positive,0.926202654838562
2025-08-13,Why a $599 MacBook may be the most enticing laptop for Windows 10 users later this year,"Rumors point to a new budget-friendly MacBook using the iPhone's A18 Pro chipset, launching as early as fall 2025.",neutral,0.6398706436157227
2025-08-13,Quansight Labs Blog: Python Wheels: from Tags to Variants,The story of how the Python Wheel Variant design was developed,neutral,0.9447791576385498
2025-08-12,"Nuclear-powered AI could make Rolls Royce UK's most valuable firm, says boss",Tufan Erginbilgic says business deals to supply nuclear power for artificial intelligence could boost its fortunes,positive,0.9430552124977112
2025-08-12,Streaming from a VR headset is about to get a lot easier,"The Meta Quest line of virtual reality (VR) headsets provides an immersive gaming experience, but streaming gameplay from those devices can be complex. A U.K.-based developer is looking to simplify that process. BeamXR has opened up early access for a Quest a…",neutral,0.791291356086731
2025-08-13,5 Oustanding HBO Max Series to Stream Now,"Discover 5 fantastic series streaming on HBO Max right now. From gangster noir to comedic brilliance, these shows all offer captivating storytelling.",neutral,0.8469259738922119
2025-08-13,AI start-up Perplexity makes $34.5bn bid for Google Chrome,Google's dominance of the search engine and online advertising market has come under intense scrutiny.,negative,0.7837327718734741
2025-08-13,AI start-up Perplexity makes $34.5bn bid for Google Chrome,Google's dominance of the search engine and online advertising market has come under intense scrutiny.,negative,0.7837327718734741
2025-08-13,Will AI replace all software? Why GPT-5 emboldens the doomsayers,"The question on Wall Street, and inside many IT shops, is whether anyone will need to buy software in the future if AI can just code it all automatically.",neutral,0.7804304361343384
2025-08-13,Is Meta Scraping the Fediverse for AI?,A new report from Dropsite News makes the claim that Meta is allegedly scraping a large amount of independent sites for content to train their AI. What's worse is that this scraping operation appears,negative,0.8053725957870483
2025-08-13,Trump's tariffs keep coming. Stock markets don't seem to care.,"At least for now, the U.S. stock market is on board with President Donald Trump’s increasingly aggressive use of executive power",neutral,0.6167916059494019
2025-08-13,These 5 ‘90s Slasher Movies Are Underrated (And They Rock),"Though many seem quick to argue that the slasher genre peaked in the ‘80s, but the ‘90s nonetheless produced plenty of noteworthy offerings that have stood the test of time. The decade gave birth to a number of quality efforts that resonated with both critics…",neutral,0.6556296348571777
2025-08-13,Elon Musk Accuses App Store Of Favoring OpenAI,"Elon Musk has taken his feud against OpenAI to the App Store, accusing Apple of favoring ChatGPT in the digital shop and vowing legal action.",negative,0.9012042284011841
2025-08-13,Elon Musk accuses App Store of favoring OpenAI,"Elon Musk has taken his feud against OpenAI to the App Store, accusing Apple of favoring ChatGPT in the digital shop and vowing legal action. “Apple is behaving in a manner that makes it impossible for any AI company besides OpenAI to reach #1 in the App Stor…",negative,0.893058180809021
2025-08-13,Threads crosses 400M monthly active users as it gains on X,"Following a recent series of welcome updates as Threads turned two, Meta CEO Mark Zuckerberg announced today that his X competitor crossed 400 million monthly active users (MAUs), a 50 million boost since April. more…",positive,0.926202654838562
2025-08-13,Why a $599 MacBook may be the most enticing laptop for Windows 10 users later this year,"Rumors point to a new budget-friendly MacBook using the iPhone's A18 Pro chipset, launching as early as fall 2025.",neutral,0.6398706436157227
2025-08-13,Quansight Labs Blog: Python Wheels: from Tags to Variants,The story of how the Python Wheel Variant design was developed,neutral,0.9447791576385498
2025-08-12,"Nuclear-powered AI could make Rolls Royce UK's most valuable firm, says boss",Tufan Erginbilgic says business deals to supply nuclear power for artificial intelligence could boost its fortunes,positive,0.9430552124977112
2025-08-12,Streaming from a VR headset is about to get a lot easier,"The Meta Quest line of virtual reality (VR) headsets provides an immersive gaming experience, but streaming gameplay from those devices can be complex. A U.K.-based developer is looking to simplify that process. BeamXR has opened up early access for a Quest a…",neutral,0.791291356086731
2025-08-13,5 Oustanding HBO Max Series to Stream Now,"Discover 5 fantastic series streaming on HBO Max right now. From gangster noir to comedic brilliance, these shows all offer captivating storytelling.",neutral,0.8469259738922119
2025-08-13,AI start-up Perplexity makes $34.5bn bid for Google Chrome,Google's dominance of the search engine and online advertising market has come under intense scrutiny.,negative,0.7837327718734741
2025-08-13,AI start-up Perplexity makes $34.5bn bid for Google Chrome,Google's dominance of the search engine and online advertising market has come under intense scrutiny.,negative,0.7837327718734741
2025-08-13,Will AI replace all software? Why GPT-5 emboldens the doomsayers,"The question on Wall Street, and inside many IT shops, is whether anyone will need to buy software in the future if AI can just code it all automatically.",neutral,0.7804304361343384
2025-08-13,Is Meta Scraping the Fediverse for AI?,A new report from Dropsite News makes the claim that Meta is allegedly scraping a large amount of independent sites for content to train their AI. What's worse is that this scraping operation appears,negative,0.8053725957870483
2025-08-13,Trump's tariffs keep coming. Stock markets don't seem to care.,"At least for now, the U.S. stock market is on board with President Donald Trump’s increasingly aggressive use of executive power",neutral,0.6167916059494019
2025-08-13,These 5 ‘90s Slasher Movies Are Underrated (And They Rock),"Though many seem quick to argue that the slasher genre peaked in the ‘80s, but the ‘90s nonetheless produced plenty of noteworthy offerings that have stood the test of time. The decade gave birth to a number of quality efforts that resonated with both critics…",neutral,0.6556296348571777
2025-08-13,Elon Musk Accuses App Store Of Favoring OpenAI,"Elon Musk has taken his feud against OpenAI to the App Store, accusing Apple of favoring ChatGPT in the digital shop and vowing legal action.",negative,0.9012042284011841
2025-08-13,Elon Musk accuses App Store of favoring OpenAI,"Elon Musk has taken his feud against OpenAI to the App Store, accusing Apple of favoring ChatGPT in the digital shop and vowing legal action. “Apple is behaving in a manner that makes it impossible for any AI company besides OpenAI to reach #1 in the App Stor…",negative,0.893058180809021
2025-08-13,Threads crosses 400M monthly active users as it gains on X,"Following a recent series of welcome updates as Threads turned two, Meta CEO Mark Zuckerberg announced today that his X competitor crossed 400 million monthly active users (MAUs), a 50 million boost since April. more…",positive,0.926202654838562
2025-08-13,Why a $599 MacBook may be the most enticing laptop for Windows 10 users later this year,"Rumors point to a new budget-friendly MacBook using the iPhone's A18 Pro chipset, launching as early as fall 2025.",neutral,0.6398706436157227
2025-08-13,Quansight Labs Blog: Python Wheels: from Tags to Variants,The story of how the Python Wheel Variant design was developed,neutral,0.9447791576385498
2025-08-12,"Nuclear-powered AI could make Rolls Royce UK's most valuable firm, says boss",Tufan Erginbilgic says business deals to supply nuclear power for artificial intelligence could boost its fortunes,positive,0.9430552124977112
2025-08-12,Streaming from a VR headset is about to get a lot easier,"The Meta Quest line of virtual reality (VR) headsets provides an immersive gaming experience, but streaming gameplay from those devices can be complex. A U.K.-based developer is looking to simplify that process. BeamXR has opened up early access for a Quest a…",neutral,0.791291356086731
